"lat_lon","AL","AD","AT","BY","BE","BA","BG","HR","CZ","DK","EE","FI","FR","DE","VA","HU","IS","IE","IT","LV","LI","LT","LU","MK","MT","MD","MC","ME","NL","NO","PL","PT","RO","RU","SM","RS","SK","SI","ES","SE","CH","TR","UA","GB","GR"
0,"(41.141353306048785, 20.03242643144321)","(42.3, 1.3)","(47.6139487927463, 14.076158884337072)","(53.50634479481114, 27.98135261544803)","(50.65244095902296, 4.580834113854935)","(44.1807677629747, 17.816883270390086)","(42.7531187620217, 25.19511095327711)","(45.1, 15.3)","(49.775245294369, 15.334558102365815)","(56.06393446179454, 9.876372937675002)","(58.643695426630906, 25.824725613026608)","(64.50409403963651, 26.211764610296353)","(46.0, 2.0)","(51.13372269040778, 10.288485092742851)","(41.54, 12.27)","(47.19995117195427, 19.357628627745918)","(65.07427633529105, -18.761028770831768)","(53.18059120995006, -8.010236544877012)","(42.751183052964265, 12.140788372235871)","(56.80717513427924, 24.833296149803438)","(47.16, 9.32)","(55.284319484766066, 23.88064027584349)","(49.76570507415103, 5.965223432343999)","(41.60592964714007, 21.697903375280845)","(35.5, 14.35)","(47.20367642606752, 28.41048279080328)","(43.44, 7.24)","(42.78903960655908, 19.2861817215929)","(52.298700374441786, 5.512217100965399)","(62.0, 10.0)","(52.14826021933187, 19.31101430844868)","(39.63404977497817, -8.055765588295687)","(45.857101035738005, 24.943252494635377)","(55.76, 37.62)","(43.46, 12.25)","(44.23303653365162, 20.819651926382583)","(48.7267113517275, 19.507657147433708)","(46.12542205901039, 14.938152320795732)","(40.348656106226734, -3.6170206023873743)","(62.811484968080336, 16.59626584684802)","(46.79173768366762, 8.118300613385486)","(39.06837194061471, 35.116900150938406)","(49.14882260840351, 31.229122070266495)","(53.91477348053706, -2.8531353951805545)","(39.066715899713955, 22.719813447095053)"
"(41.141353306048785, 20.03242643144321)",0,1560.89691990924,861.159413367691,1498.06347192834,1592.84105248651,383.360189288896,463.906663885288,584.365929724489,1026.99406199311,1816.13765016785,1988.89820937163,2630.04301539675,1549.28809326747,1339.28924053167,651.004742259425,675.356786407085,3613.32230628007,2487.8444048624,678.073261844331,1776.17574463964,1085.40650173679,1597.7775193192,1455.01909883212,148.574348656798,799.00645834892,949.049429139489,1084.27559105981,193.18256324211,1658.33284313051,2416.07139100256,1224.79803925177,2380.45544270107,657.173585355651,2069.58413278578,691.140528441817,349.446687374876,843.975920859044,689.345559570069,1993.19781639244,2421.81264261363,1141.89745212856,1304.8438777382,1249.4144908092,2215.57079687669,324.881849124436
"(42.3, 1.3)",1560.89691990924,0,1166.19736430331,2330.81557668027,961.782587775113,1355.33456374352,1957.39607097125,1168.92239529942,1364.01764389162,1650.49978538365,2489.44225081529,2932.7390284153,414.917878168998,1196.65783928072,913.27556850844,1525.76367903982,2831.3247086861,1394.15862928369,891.532283653379,2323.68553700666,833.08000036326,2181.5971625204,904.565057057132,1688.93367736632,1358.2309518063,2202.62791309257,501.497705642695,1475.59473155571,1155.85160293779,2266.68972114959,1740.85803789675,840.782756794793,1927.0809011637,2999.64592972914,903.163358963712,1595.3791701986,1586.48768265365,1168.00694420602,465.113070982305,2492.14019716489,736.177738048892,2862.12749792439,2432.52350199775,1327.39360336793,1840.82213221479
"(47.6139487927463, 14.076158884337072)",861.159413367691,1166.19736430331,0,1180.24495207314,770.16529910392,479.34371464239,1025.89050010873,294.882833688876,257.570573158241,983.264781821756,1453.14368813581,2018.61261351237,938.042246497959,478.295635845579,689.979561242071,401.195907031467,2752.71875953621,1679.58532474459,561.373522834273,1256.63019811891,362.583893713075,1090.01837196822,642.903704876975,900.10882693307,1345.62989772941,1081.28677902414,706.906812322147,674.270666098419,804.785032679177,1621.94110070826,628.862947477918,1984.60570299213,852.446968676582,1850.28172841825,483.171867705439,643.696597990061,422.405574285589,178.046340850074,1627.50516154931,1699.13356912777,460.450590250169,1943.45333603934,1279.17662111884,1379.76664098543,1178.64648582962
"(53.50634479481114, 27.98135261544803)",1498.06347192834,2330.81557668027,1180.24495207314,0,1627.5739543454,1274.84704631926,1213.28369133674,1309.54977322037,967.123642029526,1195.2759599154,587.481520132395,1229.1715217781,2035.02023203609,1231.52665104617,1772.53996842169,930.75766368729,2870.95613253364,2371.77076718664,1672.20850930548,418.587428869259,1498.25334971762,331.743057515916,1572.95117916292,1403.71818577442,2266.72527805049,701.742956798985,1887.14188009992,1353.70239938408,1511.53149320853,1419.99050649304,603.222117907036,3116.77653072349,878.353007824463,670.373719626681,1605.90609047748,1156.00491721762,795.77737203601,1243.60187463226,2781.87902331938,1230.28737404539,1596.61279718966,1694.37270964647,534.903976469229,2020.39171598222,1654.33300338915
"(50.65244095902296, 4.580834113854935)",1592.84105248651,961.782587775113,770.16529910392,1627.5739543454,0,1228.05266110689,1795.82347698166,1010.29140812717,773.047570467024,697.40740896174,1623.69526451019,1992.83475144367,551.508671902133,405.031756292555,1173.03752067593,1146.51741593964,2096.0322909401,909.438385261708,1050.32595234174,1494.15921117466,520.887264940885,1389.67553149917,139.61930236012,1654.94083186385,1858.09283082968,1779.48372597609,826.741326452924,1419.73297167534,194.249150147865,1306.11527129119,1036.65127134343,1572.54850488738,1597.1325119069,2255.9014517239,988.229397457543,1413.1294972232,1096.15609073972,916.223678477687,1310.35948215876,1535.0725257356,501.925550049045,2708.1454696452,1911.37508152584,623.29873994949,1917.465470025
"(44.1807677629747, 17.816883270390086)",383.360189288896,1355.33456374352,479.34371464239,1274.84704631926,1228.05266110689,0,617.517690927614,224.281887824151,649.887132877923,1436.34591340821,1699.92183456373,2322.38384813185,1259.28415184607,956.744471248569,539.774818527977,356.363855921985,3230.22548501409,2132.53356313591,485.881423324846,1488.271130827,739.724127234063,1308.83487134426,1092.88035088524,426.890166940327,1008.22315896578,890.006266350525,854.399795081274,195.022388706583,1281.29274745072,2047.50958373746,892.823490496538,2195.39150497564,591.545464834852,1905.02328612216,454.853133295148,240.058999339989,521.719044013511,312.93288916657,1813.25894225771,2074.95510718273,811.158681725186,1545.73681343047,1163.24970196062,1847.55188403538,699.394507221902
"(42.7531187620217, 25.19511095327711)",463.906663885288,1957.39607097125,1025.89050010873,1213.28369133674,1795.82347698166,617.517690927614,0,835.66739413578,1087.79783636341,1842.49628150025,1768.22565745172,2421.61740755096,1876.41551349369,1463.5521860225,1075.77520784796,675.068287413581,3680.86799683623,2705.02154423849,1067.66265398553,1563.359002863,1341.95988199325,1396.83541140744,1668.30922347638,315.748098241766,1234.21802352192,555.706272644552,1460.9396151506,483.522206137548,1813.362622149,2364.75351865743,1133.96340932308,2792.51437271805,345.493393018939,1700.2748143889,1055.58273814078,390.172373968697,797.444045480318,897.552857653464,2406.7973150334,2301.49528447337,1420.90988297852,929.856369850987,850.386042561337,2398.12813014596,459.3832777878
"(45.1, 15.3)",584.365929724489,1168.92239529942,294.882833688876,1309.54977322037,1010.29140812717,224.281887824151,835.66739413578,0,519.797139861419,1277.70036857602,1667.60859665057,2263.5402962556,1042.15825816713,767.259824600802,465.576396229456,390.739746186589,3039.46548524269,1911.43006442685,363.91497849667,1461.37121429211,515.566971165728,1285.71051575706,873.583478887541,647.531758215907,1069.02496632836,1038.08425465548,669.10455176392,410.20626741799,1075.12071498301,1911.85033651618,837.372521332156,2009.15784199302,758.192300827726,1965.48703908172,304.083475348253,448.10325198848,514.896404544639,117.411850412154,1632.24173860947,1973.05245117002,587.491910898905,1765.42565170247,1286.75932238523,1632.13309456564,908.05985114427
"(49.775245294369, 15.334558102365815)",1026.99406199311,1364.01764389162,257.570573158241,967.123642029526,773.047570467024,649.887132877923,1087.79783636341,519.797139861419,0,789.706764490327,1198.1989168543,1761.64106000238,1080.0749125058,388.812879308255,945.734864907723,412.738782950877,2608.45361570229,1657.46557081521,818.470308558452,1004.91491412763,531.152317967785,842.735358023437,674.496231521794,1033.56305336904,1587.79963346644,1006.43757591278,937.271122464335,833.839186286689,743.195926803534,1400.25498917044,384.261462506268,2155.70591606524,840.236821594727,1635.64255603526,740.544074230114,743.606072627418,325.370746396042,406.898459801383,1815.23512461037,1453.55471327438,629.573140015285,1963.94956667405,1152.17722535266,1330.78253951299,1325.78334593919
"(56.06393446179454, 9.876372937675002)",1816.13765016785,1650.49978538365,983.264781821756,1195.2759599154,697.40740896174,1436.34591340821,1842.49628150025,1277.70036857602,789.706764490327,0,999.313203416749,1296.80864196838,1246.63005724754,549.394474131613,1624.42720727919,1182.36016761967,1839.21053032785,1195.2899968883,1489.48570876006,924.52064335774,991.387686729001,883.826932768012,748.345468412377,1821.24701815196,2310.75152786051,1609.55055421139,1416.60449671754,1623.1047739156,506.568930779617,661.287076510496,754.465871221189,2252.19507160955,1545.77926097997,1723.56397833659,1412.03136270567,1526.72031352232,1045.09029253198,1160.34097214115,2006.65322255761,841.843160861135,1038.71775388139,2650.29049791534,1629.05052016618,847.821633673482,2114.59385201457
"(58.643695426630906, 25.824725613026608)",1988.89820937163,2489.44225081529,1453.14368813581,587.481520132395,1623.69526451019,1699.92183456373,1768.22565745172,1667.60859665057,1198.1989168543,999.313203416749,0,653.391998443777,2128.32481421524,1295.66499267161,2126.0995173218,1344.22089008671,2396.2117007466,2175.3005251584,2006.12105230066,212.892150128327,1683.82892253138,392.301815418137,1619.28268430947,1917.0521862048,2707.65873577175,1284.66548017504,2120.07391500883,1821.04763988347,1457.77539595741,947.92515164823,831.752622051682,3193.25404856839,1424.01797444955,780.551597351538,1930.51559236244,1639.46713948091,1178.75762594126,1573.35259654888,2903.89851615056,683.868077161995,1769.81562928358,2276.11682286767,1114.03127646866,1836.65993937714,2188.38380254792
"(64.50409403963651, 26.211764610296353)",2630.04301539675,2932.7390284153,2018.61261351237,1229.1715217781,1992.83475144367,2322.38384813185,2421.61740755096,2263.5402962556,1761.64106000238,1296.80864196838,653.391998443777,0,2537.8493811607,1753.2457080801,2707.12086198671,1971.09250823235,2094.01680565639,2300.94565510134,2579.96668282466,860.864929105751,2186.10703041296,1035.24679369669,2029.22199022891,2564.57126167062,3323.52865067138,1930.79335798503,2630.51152039624,2456.36780247008,1803.32653379694,858.072461769636,1432.36016374515,3543.73817290871,2077.31991947738,1158.53581935051,2501.73858687902,2281.43726804431,1801.99060013186,2159.92715063972,3303.05384639629,511.631491102802,2258.71770910796,2889.46703453794,1735.77907037267,2007.74257848928,2839.38218759641
"(46.0, 2.0)",1549.28809326747,414.917878168998,938.042246497959,2035.02023203609,551.508671902133,1259.28415184607,1876.41551349369,1042.15825816713,1080.0749125058,1246.63005724754,2128.32481421524,2537.8493811607,0,835.777071228126,962.87972937627,1333.85777747614,2469.25135362099,1075.80416856535,884.312564398222,1976.6236042206,575.467520874349,1848.27687031431,512.933016834075,1653.60106135352,1560.69346985853,2018.28623351316,503.110131213358,1419.54339695883,745.653873755218,1853.18500118055,1432.69033381666,1083.11496807047,1773.4364994706,2693.86371774436,858.873110910549,1490.25902266568,1353.53029315769,1000.09014254856,775.94121817912,2086.24887329715,478.580813852771,2804.95539059076,2212.58433363382,946.166329390079,1861.13016311096
"(51.13372269040778, 10.288485092742851)",1339.28924053167,1196.65783928072,478.295635845579,1231.52665104617,405.031756292555,956.744471248569,1463.5521860225,767.259824600802,388.812879308255,549.394474131613,1295.66499267161,1753.2457080801,835.777071228126,0,1077.16507418637,792.110637621915,2274.44135787722,1269.18926146439,942.410559081939,1140.87445473206,447.529253148456,1016.50637696852,342.624310917123,1372.36983308934,1767.16040367508,1387.69409136916,885.693529929942,1151.2431192746,354.545572857948,1210.095492121,634.274465451153,1913.16583384143,1228.73963426232,1873.71665184533,865.854065674341,1099.72431061451,713.399583580533,653.641189191891,1609.54948031638,1354.24644003638,508.284572993131,2351.53869616497,1507.87233204695,942.448601204163,1655.1822475038
"(41.54, 12.27)",651.004742259425,913.27556850844,689.979561242071,1772.53996842169,1173.03752067593,539.774818527977,1075.77520784796,465.576396229456,945.734864907723,1624.42720727919,2126.0995173218,2707.12086198671,962.87972937627,1077.16507418637,0,844.683984212866,3268.59837213752,1992.97932242925,134.956773918469,1922.25411343937,667.183787788933,1748.15852151852,1037.06255466271,785.952413724886,694.51917705345,1428.44211930136,464.159862739426,595.966997971489,1300.70466281185,2281.43486072302,1294.34712732496,1729.63959462402,1126.88301624811,2422.74661277751,213.285716372743,759.317628445348,979.858791272561,552.746942344393,1342.39046815467,2383.97829886196,671.175128118536,1955.74524618088,1702.78496163157,1775.61216389956,929.168455849588
"(47.19995117195427, 19.357628627745918)",675.356786407085,1525.76367903982,401.195907031467,930.75766368729,1146.51741593964,356.363855921985,675.068287413581,390.739746186589,412.738782950877,1182.36016761967,1344.22089008671,1971.09250823235,1333.85777747614,792.110637621915,844.683984212866,0,3014.53053007873,2049.57996883336,753.410685140206,1132.27648910555,760.343321356692,952.744726759268,1028.74098785635,648.878541859316,1364.55549484298,685.542587003168,1036.48068061396,490.224299508498,1144.98579976731,1750.75051726321,550.3743933951,2358.88848305498,453.671945816193,1578.31195181578,694.675294343812,348.836026435823,170.129071777022,358.6472649621,1990.82780600448,1746.45730863676,855.34708734308,1563.7432495012,908.079438469734,1732.41099620885,943.82159830081
"(65.07427633529105, -18.761028770831768)",3613.32230628007,2831.3247086861,2752.71875953621,2870.95613253364,2096.0322909401,3230.22548501409,3680.86799683623,3039.46548524269,2608.45361570229,1839.21053032785,2396.2117007466,2094.01680565639,2469.25135362099,2274.44135787722,3268.59837213752,3014.53053007873,0,1456.26615112554,3143.72888640565,2475.1334093806,2607.12761486322,2541.76584840481,2231.56076862375,3638.39882259365,3953.18163841544,3420.09802563624,2899.03820092785,3423.95235003225,1977.52908962737,1457.12036710379,2579.23425006632,2913.83641100133,3383.22559658314,3150.9918800055,3078.09000497586,3352.04373806413,2883.52884432071,2927.54424475307,2917.54235551757,1728.3375609668,2597.84961966062,4472.99570403424,3381.66145644276,1526.09730011712,3926.28598881742
"(53.18059120995006, -8.010236544877012)",2487.8444048624,1394.15862928369,1679.58532474459,2371.77076718664,909.438385261708,2132.53356313591,2705.02154423849,1911.43006442685,1657.46557081521,1195.2899968883,2175.3005251584,2300.94565510134,1075.80416856535,1269.18926146439,1992.97932242925,2049.57996883336,1456.26615112554,0,1888.59213825889,2118.9646841909,1402.4935778571,2074.25234268118,1040.57100373548,2558.71757236003,2630.87094024881,2652.94565847418,1560.05956536422,2321.58917023737,917.176527461855,1448.72870563596,1840.75289461024,1505.82482483001,2495.19357660028,2918.23770883586,1840.34104998772,2322.45377359231,1982.52224369949,1822.76620610372,1464.70018955075,1789.32662978299,1352.92541267942,3613.28981339543,2745.40473245052,351.379315121593,2812.50809052836
"(42.751183052964265, 12.140788372235871)",678.073261844331,891.532283653379,561.373522834273,1672.20850930548,1050.32595234174,485.881423324846,1067.66265398553,363.91497849667,818.470308558452,1489.48570876006,2006.12105230066,2579.96668282466,884.312564398222,942.410559081939,134.956773918469,753.410685140206,3143.72888640565,1888.59213825889,0,1804.41583875829,538.049005586984,1632.1542527675,912.870868396196,799.325533281212,827.281111356202,1372.18169275013,406.20267213513,584.64992017683,1171.8227822573,2146.52350187861,1175.04325613552,1724.85997735342,1076.85683020192,2329.39534955116,79.2460739134746,720.675822325816,876.555173760653,436.032334557492,1339.40030743178,2251.15666187942,550.28972782104,1971.91368958679,1635.82018415027,1659.55515531813,979.774870612555
"(56.80717513427924, 24.833296149803438)",1776.17574463964,2323.68553700666,1256.63019811891,418.587428869259,1494.15921117466,1488.271130827,1563.359002863,1461.37121429211,1004.91491412763,924.52064335774,212.892150128327,860.864929105751,1976.6236042206,1140.87445473206,1922.25411343937,1132.27648910555,2475.1334093806,2118.9646841909,1804.41583875829,0,1505.97366481739,179.647339147723,1474.99489171029,1705.48563782967,2496.31402821478,1096.03436552233,1935.9907633363,1608.1764584546,1341.38513182807,1018.30828597479,629.711088425944,3051.83530668213,1218.2622336582,799.27304361465,1729.76171486015,1426.76673987878,967.677615934848,1369.87972490758,2749.16355487088,811.760487165609,1595.52410677183,2111.24674442259,953.452279648372,1772.33765190738,1978.60331810661
"(47.16, 9.32)",1085.40650173679,833.08000036326,362.583893713075,1498.25334971762,520.887264940885,739.724127234063,1341.95988199325,515.566971165728,531.152317967785,991.387686729001,1683.82892253138,2186.10703041296,575.467520874349,447.529253148456,667.183787788933,760.343321356692,2607.12761486322,1402.4935778571,538.049005586984,1505.97366481739,0,1355.91648289468,381.380314529995,1161.47421258218,1360.9428365887,1443.40311282349,444.412238528928,923.042109395322,633.840057032611,1652.45858192619,908.745599307253,1631.86444533016,1205.75002230879,2166.63177093033,470.965297691697,951.803745167799,780.122938412275,445.131294634895,1285.01995705272,1800.79426239784,100.182895773314,2270.40432973193,1639.14643646456,1141.48816712579,1410.01693877065
