,AL,AD,AT,BY,BE,BA,BG,HR,CZ,DK,EE,FI,FR,DE,VA,HU,IS,IE,IT,LV,LI,LT,LU,MK,MT,MD,MC,ME,NL,NO,PL,PT,RO,RU,SM,RS,SK,SI,ES,SE,CH,TR,UA,GB,GR
AL,0.0,0.0,14.0,7.0,11.0,24.0,74.0,15.0,5.0,6.0,2.0,2.0,143.0,33.0,7.0,2.0,11.0,10.0,85.0,3.0,0.0,1.0,2.0,28.0,7.0,12.0,0.0,25.0,9.0,7.0,8.0,5.0,4.0,95.0,1.0,61.0,3.0,1.0,26.0,10.0,9.0,76.0,86.0,112.0,105.0
AD,1.0,0.0,6.0,0.0,4.0,0.0,3.0,3.0,0.0,5.0,0.0,0.0,128.0,19.0,3.0,2.0,6.0,6.0,38.0,1.0,2.0,1.0,0.0,0.0,4.0,3.0,1.0,1.0,2.0,3.0,5.0,13.0,2.0,16.0,2.0,1.0,0.0,2.0,423.0,5.0,8.0,8.0,13.0,45.0,4.0
AT,0.0,1.0,0.0,4.0,23.0,4.0,1.0,4.0,16.0,6.0,4.0,6.0,65.0,91.0,1.0,17.0,1.0,8.0,53.0,0.0,3.0,0.0,0.0,0.0,5.0,2.0,2.0,1.0,9.0,10.0,13.0,5.0,5.0,41.0,1.0,2.0,10.0,4.0,48.0,2.0,13.0,34.0,43.0,152.0,6.0
BY,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,7.0,1.0
BE,3.0,1.0,5.0,4.0,0.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,182.0,39.0,0.0,9.0,3.0,20.0,38.0,1.0,1.0,2.0,10.0,0.0,2.0,4.0,0.0,0.0,39.0,7.0,13.0,10.0,1.0,32.0,0.0,1.0,0.0,1.0,41.0,6.0,4.0,9.0,21.0,106.0,11.0
BA,7.0,0.0,3.0,0.0,0.0,0.0,18.0,17.0,1.0,0.0,0.0,7.0,49.0,9.0,0.0,2.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,8.0,1.0,0.0,5.0,2.0,1.0,11.0,0.0,11.0,3.0,7.0,11.0,2.0,1.0,14.0,11.0,24.0,0.0
BG,1.0,0.0,3.0,2.0,1.0,2.0,0.0,5.0,2.0,2.0,2.0,1.0,59.0,27.0,0.0,10.0,1.0,5.0,28.0,0.0,0.0,0.0,3.0,1.0,6.0,4.0,0.0,2.0,2.0,1.0,7.0,5.0,10.0,15.0,0.0,7.0,0.0,1.0,46.0,4.0,8.0,9.0,18.0,100.0,11.0
HR,3.0,0.0,8.0,2.0,7.0,10.0,24.0,0.0,14.0,1.0,2.0,3.0,49.0,18.0,0.0,6.0,4.0,10.0,40.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,5.0,10.0,8.0,2.0,11.0,1.0,9.0,1.0,5.0,28.0,5.0,7.0,3.0,21.0,59.0,4.0
CZ,1.0,0.0,13.0,5.0,8.0,1.0,1.0,6.0,0.0,3.0,0.0,0.0,34.0,38.0,1.0,1.0,0.0,2.0,11.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,3.0,12.0,3.0,3.0,14.0,0.0,3.0,7.0,0.0,24.0,2.0,12.0,2.0,42.0,49.0,3.0
DK,4.0,0.0,1.0,0.0,7.0,0.0,3.0,1.0,4.0,0.0,2.0,12.0,77.0,29.0,0.0,3.0,10.0,8.0,21.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,24.0,16.0,6.0,5.0,2.0,48.0,0.0,0.0,4.0,1.0,35.0,42.0,8.0,8.0,55.0,120.0,1.0
EE,0.0,0.0,6.0,9.0,8.0,1.0,0.0,1.0,19.0,12.0,0.0,71.0,102.0,40.0,0.0,8.0,3.0,15.0,40.0,30.0,0.0,9.0,0.0,0.0,1.0,5.0,1.0,0.0,14.0,10.0,18.0,4.0,19.0,123.0,1.0,3.0,2.0,1.0,24.0,10.0,2.0,11.0,118.0,99.0,3.0
FI,1.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,37.0,19.0,0.0,2.0,2.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,6.0,6.0,5.0,5.0,0.0,34.0,0.0,1.0,1.0,0.0,18.0,26.0,2.0,10.0,27.0,46.0,4.0
FR,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,1.0,0.0,5.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,8.0,0.0,6.0,0.0,0.0,1.0,1.0,15.0,0.0,4.0,1.0,2.0,58.0,8.0
DE,0.0,0.0,7.0,5.0,11.0,1.0,0.0,5.0,4.0,2.0,0.0,3.0,48.0,0.0,0.0,2.0,1.0,2.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,8.0,3.0,5.0,4.0,0.0,23.0,0.0,0.0,0.0,0.0,33.0,2.0,8.0,9.0,23.0,64.0,2.0
VA,5.0,0.0,29.0,1.0,16.0,4.0,11.0,3.0,8.0,3.0,0.0,3.0,66.0,48.0,0.0,5.0,2.0,9.0,5378.0,3.0,0.0,9.0,1.0,3.0,3.0,3.0,0.0,0.0,15.0,3.0,11.0,7.0,23.0,17.0,0.0,4.0,2.0,4.0,112.0,3.0,9.0,12.0,37.0,110.0,11.0
HU,0.0,0.0,19.0,2.0,12.0,0.0,1.0,13.0,14.0,0.0,0.0,5.0,66.0,38.0,0.0,0.0,1.0,7.0,22.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,1.0,2.0,7.0,3.0,17.0,4.0,8.0,18.0,0.0,4.0,11.0,3.0,43.0,3.0,4.0,15.0,32.0,100.0,3.0
IS,0.0,0.0,2.0,3.0,6.0,1.0,1.0,3.0,2.0,12.0,0.0,5.0,62.0,16.0,0.0,0.0,0.0,19.0,9.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,10.0,16.0,12.0,3.0,2.0,158.0,0.0,0.0,2.0,1.0,21.0,9.0,1.0,5.0,218.0,82.0,2.0
IE,1.0,0.0,3.0,3.0,12.0,1.0,3.0,5.0,4.0,6.0,2.0,4.0,182.0,16.0,4.0,3.0,3.0,0.0,33.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,13.0,4.0,4.0,7.0,4.0,37.0,0.0,1.0,3.0,1.0,33.0,6.0,5.0,6.0,44.0,496.0,8.0
IT,1.0,0.0,5.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,29.0,7.0,8.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,7.0,4.0,7.0,1.0,0.0,0.0,0.0,18.0,1.0,7.0,4.0,9.0,29.0,4.0
LV,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,20.0,6.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,3.0,3.0,1.0,39.0,0.0,1.0,0.0,1.0,13.0,5.0,2.0,1.0,32.0,24.0,2.0
LI,2.0,0.0,86.0,3.0,16.0,0.0,1.0,4.0,5.0,2.0,1.0,7.0,89.0,116.0,0.0,5.0,4.0,10.0,70.0,0.0,0.0,1.0,3.0,0.0,0.0,6.0,2.0,0.0,9.0,5.0,8.0,6.0,12.0,18.0,0.0,0.0,2.0,1.0,95.0,15.0,459.0,5.0,32.0,51.0,3.0
LT,2.0,0.0,2.0,44.0,8.0,3.0,2.0,3.0,6.0,16.0,20.0,8.0,97.0,20.0,1.0,2.0,2.0,15.0,27.0,34.0,2.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,8.0,6.0,33.0,12.0,3.0,86.0,0.0,9.0,4.0,2.0,67.0,8.0,1.0,14.0,99.0,91.0,5.0
LU,3.0,3.0,4.0,9.0,43.0,1.0,0.0,5.0,4.0,10.0,2.0,4.0,261.0,62.0,0.0,17.0,4.0,45.0,50.0,1.0,0.0,3.0,0.0,1.0,3.0,5.0,0.0,0.0,17.0,12.0,8.0,52.0,1.0,34.0,4.0,11.0,0.0,4.0,49.0,8.0,12.0,12.0,41.0,159.0,7.0
MK,6.0,0.0,5.0,2.0,2.0,2.0,33.0,4.0,2.0,1.0,0.0,1.0,29.0,6.0,0.0,3.0,0.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,4.0,1.0,1.0,12.0,0.0,11.0,1.0,3.0,8.0,1.0,2.0,8.0,1.0,18.0,8.0
MT,2.0,1.0,5.0,1.0,8.0,0.0,6.0,8.0,3.0,1.0,2.0,3.0,134.0,45.0,1.0,7.0,38.0,25.0,144.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,4.0,10.0,15.0,5.0,28.0,1.0,4.0,0.0,0.0,77.0,9.0,10.0,17.0,18.0,340.0,15.0
MD,1.0,0.0,4.0,3.0,8.0,6.0,16.0,4.0,4.0,1.0,2.0,6.0,81.0,14.0,0.0,8.0,0.0,8.0,15.0,5.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,7.0,23.0,0.0,67.0,117.0,0.0,14.0,1.0,4.0,19.0,14.0,3.0,7.0,369.0,49.0,2.0
MC,0.0,0.0,15.0,0.0,8.0,0.0,1.0,5.0,1.0,1.0,0.0,1.0,226.0,80.0,2.0,7.0,0.0,7.0,203.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0,0.0,1.0,5.0,2.0,3.0,1.0,1.0,10.0,1.0,0.0,0.0,0.0,27.0,3.0,4.0,11.0,4.0,106.0,5.0
ME,10.0,0.0,1.0,3.0,2.0,5.0,14.0,14.0,4.0,1.0,1.0,1.0,25.0,3.0,0.0,3.0,1.0,1.0,7.0,1.0,0.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,2.0,2.0,5.0,1.0,1.0,15.0,0.0,22.0,1.0,3.0,8.0,1.0,2.0,7.0,21.0,20.0,6.0
NL,1.0,1.0,2.0,2.0,11.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,28.0,15.0,1.0,2.0,0.0,6.0,11.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,25.0,2.0,3.0,2.0,9.0,50.0,2.0
NO,0.0,0.0,4.0,2.0,6.0,1.0,1.0,2.0,1.0,19.0,1.0,15.0,39.0,18.0,0.0,4.0,5.0,7.0,27.0,1.0,0.0,2.0,1.0,1.0,2.0,16.0,1.0,0.0,8.0,0.0,4.0,5.0,5.0,31.0,0.0,0.0,1.0,2.0,33.0,29.0,3.0,3.0,25.0,96.0,4.0
PL,2.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,3.0,24.0,14.0,0.0,2.0,1.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,33.0,0.0,2.0,5.0,1.0,14.0,5.0,6.0,1.0,37.0,38.0,0.0
PT,1.0,1.0,6.0,0.0,8.0,0.0,1.0,5.0,8.0,2.0,1.0,3.0,45.0,13.0,0.0,1.0,1.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,6.0,2.0,1.0,0.0,0.0,21.0,1.0,3.0,0.0,0.0,114.0,2.0,6.0,5.0,23.0,55.0,3.0
RO,2.0,0.0,15.0,4.0,7.0,1.0,20.0,5.0,7.0,2.0,2.0,6.0,98.0,16.0,0.0,17.0,4.0,3.0,24.0,2.0,0.0,6.0,4.0,0.0,0.0,24.0,0.0,0.0,19.0,2.0,8.0,9.0,0.0,62.0,0.0,9.0,2.0,0.0,34.0,4.0,2.0,22.0,102.0,160.0,8.0
RU,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,6.0,3.0,1.0,0.0,1.0,1.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,3.0,11.0,8.0,2.0
SM,0.0,6.0,28.0,2.0,1.0,2.0,2.0,9.0,6.0,7.0,0.0,3.0,34.0,21.0,3.0,9.0,2.0,4.0,493.0,0.0,0.0,1.0,1.0,0.0,5.0,5.0,1.0,2.0,5.0,2.0,1.0,6.0,0.0,118.0,0.0,3.0,0.0,2.0,21.0,9.0,6.0,7.0,8.0,94.0,12.0
RS,0.0,0.0,0.0,0.0,1.0,2.0,5.0,2.0,0.0,1.0,0.0,1.0,13.0,4.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,3.0,3.0,5.0,1.0
SK,2.0,2.0,41.0,5.0,5.0,5.0,3.0,5.0,29.0,7.0,0.0,10.0,144.0,36.0,5.0,41.0,3.0,15.0,35.0,1.0,3.0,0.0,2.0,0.0,1.0,3.0,1.0,1.0,7.0,5.0,17.0,11.0,2.0,65.0,1.0,7.0,0.0,2.0,29.0,5.0,8.0,15.0,84.0,156.0,6.0
SI,0.0,0.0,123.0,0.0,3.0,3.0,7.0,25.0,3.0,0.0,1.0,0.0,31.0,12.0,1.0,3.0,0.0,3.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,5.0,5.0,2.0,10.0,0.0,7.0,4.0,0.0,13.0,5.0,1.0,2.0,7.0,41.0,5.0
ES,0.0,1.0,5.0,1.0,7.0,0.0,3.0,4.0,2.0,5.0,1.0,1.0,53.0,32.0,0.0,6.0,2.0,2.0,53.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,7.0,2.0,4.0,15.0,0.0,26.0,0.0,0.0,2.0,0.0,0.0,19.0,11.0,6.0,26.0,55.0,6.0
SE,1.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,9.0,0.0,10.0,30.0,28.0,1.0,2.0,5.0,3.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,16.0,1.0,1.0,0.0,16.0,0.0,1.0,2.0,0.0,16.0,0.0,4.0,4.0,12.0,72.0,1.0
CH,1.0,1.0,20.0,1.0,10.0,0.0,0.0,8.0,5.0,5.0,0.0,1.0,113.0,49.0,3.0,4.0,4.0,5.0,55.0,1.0,1.0,2.0,1.0,1.0,0.0,15.0,1.0,0.0,7.0,7.0,21.0,18.0,1.0,28.0,1.0,0.0,11.0,2.0,63.0,8.0,0.0,20.0,46.0,98.0,8.0
TR,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,3.0
UA,0.0,0.0,2.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,13.0,5.0,0.0,3.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,143.0,0.0,1.0,0.0,0.0,6.0,2.0,2.0,7.0,0.0,16.0,0.0
GB,2.0,0.0,6.0,1.0,8.0,0.0,2.0,4.0,4.0,6.0,1.0,1.0,149.0,31.0,0.0,4.0,5.0,30.0,27.0,0.0,0.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,13.0,1.0,7.0,12.0,0.0,20.0,0.0,2.0,2.0,1.0,39.0,5.0,12.0,7.0,13.0,0.0,3.0
GR,1.0,0.0,2.0,1.0,12.0,0.0,3.0,2.0,1.0,3.0,1.0,0.0,57.0,14.0,1.0,0.0,11.0,4.0,13.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,0.0,0.0,3.0,1.0,2.0,0.0,2.0,15.0,0.0,0.0,0.0,2.0,15.0,4.0,5.0,36.0,14.0,81.0,0.0
